Base,WhiteIndices,Indices
sura_male,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
sura_male_riding,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
swordman_female,18,"1,8,9,40,72,120,121,128,129,176,177,178,200,208,216,232,233,240"
swordman_male,20,"1,8,9,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
taekwon_female,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
taekwon_female_riding,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
taekwon_male,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
taekwon_male_riding,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
thief_female,12,"1,128,129,176,177,178,200,208,224,232,233,240"
thief_male,17,"1,40,88,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
trans_high_wizard_female,20,"1,8,9,64,65,72,73,128,129,168,169,176,177,178,208,216,224,232,233,240"
trans_high_wizard_male,14,"1,72,73,128,129,176,177,178,208,216,224,232,233,240"
trans_magician_female,18,"1,8,9,40,48,72,128,129,176,177,178,200,208,216,224,232,233,240"
trans_magician_male,22,"1,8,9,40,64,65,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
trans_professor_female,20,"1,8,9,64,65,72,73,128,129,168,169,176,177,178,208,216,224,232,233,240"
trans_professor_male,14,"1,72,73,128,129,176,177,178,208,216,224,232,233,240"
trans_sage_female,20,"1,8,9,64,65,72,73,128,129,168,169,176,177,178,208,216,224,232,233,240"
trans_sage_male,14,"1,72,73,128,129,176,177,178,208,216,224,232,233,240"
trans_sorcerer_female,19,"1,40,72,73,88,89,120,121,128,129,176,177,178,208,216,224,232,233,240"
trans_sorcerer_male,16,"1,40,72,73,88,128,129,160,176,177,178,208,216,232,233,240"
trans_warlock_female,18,"1,48,64,65,72,73,88,128,129,176,177,178,208,216,224,232,233,240"
trans_warlock_male,18,"1,48,64,65,72,73,88,128,129,176,177,178,200,208,216,232,233,240"
trans_wizard_female,20,"1,8,9,64,65,72,73,128,129,168,169,176,177,178,208,216,224,232,233,240"
trans_wizard_male,14,"1,72,73,128,129,176,177,178,208,216,224,232,233,240"
troubadour_male,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
troubadour_male_riding,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
troubadour_riding_³²,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
troubadour_³²,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
trouvere_female,18,"1,8,9,40,72,73,88,120,121,128,129,200,208,216,224,232,233,240"
trouvere_female_riding,18,"1,8,9,40,72,73,88,120,121,128,129,200,208,216,224,232,233,240"
trouvere_riding_¿©,18,"1,8,9,40,72,73,88,120,121,128,129,200,208,216,224,232,233,240"
trouvere_¿©,18,"1,8,9,40,72,73,88,120,121,128,129,200,208,216,224,232,233,240"
wanderer_female,18,"1,8,9,40,72,73,88,120,121,128,129,200,208,216,224,232,233,240"
warlock_female,18,"1,48,64,65,72,73,88,128,129,176,177,178,208,216,224,232,233,240"
warlock_male,18,"1,48,64,65,72,73,88,128,129,176,177,178,200,208,216,232,233,240"
whitesmith_female,14,"1,72,73,120,121,128,129,176,177,178,208,216,217,224"
whitesmith_female_riding,14,"1,72,73,120,121,128,129,176,177,178,208,216,217,224"
whitesmith_male,14,"1,72,120,121,128,129,176,177,178,208,224,232,233,240"
whitesmith_male_riding,14,"1,72,120,121,128,129,176,177,178,208,224,232,233,240"
windhawk_female,13,"1,40,48,72,88,120,121,128,129,200,208,216,224"
windhawk_female_riding,13,"1,40,48,72,88,120,121,128,129,200,208,216,224"
windhawk_male,12,"1,40,48,72,88,120,121,128,129,200,208,224"
windhawk_male_riding,12,"1,40,48,72,88,120,121,128,129,200,208,224"
windhawk_riding_³²,12,"1,40,48,72,88,120,121,128,129,200,208,224"
windhawk_riding_¿©,13,"1,40,48,72,88,120,121,128,129,200,208,216,224"
windhawk_³²,12,"1,40,48,72,88,120,121,128,129,200,208,224"
windhawk_¿©,13,"1,40,48,72,88,120,121,128,129,200,208,216,224"
wizard_female,20,"1,8,9,64,65,72,73,128,129,168,169,176,177,178,208,216,224,232,233,240"
wizard_male,14,"1,72,73,128,129,176,177,178,208,216,224,232,233,240"
wolf_windhawk_female,13,"1,40,48,72,88,120,121,128,129,200,208,216,224"
wolf_windhawk_male,12,"1,40,48,72,88,120,121,128,129,200,208,224"
wolf_windhawk_³²,12,"1,40,48,72,88,120,121,128,129,200,208,224"
wolf_windhawk_¿©,13,"1,40,48,72,88,120,121,128,129,200,208,216,224"
°Ç³Ê_³²,16,"1,72,73,120,121,128,129,160,176,177,178,208,216,232,233,240"
°Ç³Ê_¿©,16,"1,72,73,120,121,128,129,160,176,177,178,208,216,232,233,240"
°Ë»ç_³²,20,"1,8,9,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
°Ë»ç_¿©,18,"1,8,9,40,72,120,121,128,129,176,177,178,200,208,216,232,233,240"
°Ë»çÆäÄÚ_³²,20,"1,8,9,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
°Ë»çÆäÄÚ_¿©,18,"1,8,9,40,72,120,121,128,129,176,177,178,200,208,216,232,233,240"
°áÈ¥_³²,7,"1,40,72,120,121,128,129"
°áÈ¥_¿©,18,"1,40,41,48,72,88,128,129,176,177,178,200,208,216,224,232,233,240"
±Ã¼ö_³²,13,"1,8,9,72,73,128,129,200,208,216,224,232,233"
±Ã¼ö_¿©,14,"1,8,9,48,72,73,128,129,200,208,216,224,232,233"
±Ç¼º_³²,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
±Ç¼º_¿©,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
±Ç¼ºÀ¶ÇÕ_³²,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
±Ç¼ºÀ¶ÇÕ_¿©,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
±Ç¼ºÆ÷¸µ_³²,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
±Ç¼ºÆ÷¸µ_¿©,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
±×¸®Æù·Î¾â_³²,15,"1,88,96,120,121,128,129,160,176,177,178,208,232,233,240"
±×¸®Æù·Î¾â_¿©,15,"1,88,96,120,121,128,129,160,176,177,178,208,232,233,240"
±â»ç_³²,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
±â»ç_¿©,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
±æ·ÎÆ¾Å©·Î½º_³²,19,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
±æ·ÎÆ¾Å©·Î½º_¿©,20,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
´ÑÀÚ_³²,13,"1,8,9,40,72,73,88,128,129,208,216,232,233"
´ÑÀÚ_¿©,12,"1,40,88,120,121,128,129,200,208,216,232,233"
´í¼­_¿©,12,"1,8,9,120,121,128,129,208,224,232,233,240"
µµµÏ_³²,17,"1,40,88,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
µµµÏ_¿©,12,"1,128,129,176,177,178,200,208,224,232,233,240"
µÎ²¨ºñ´ÑÀÚ_³²,13,"1,8,9,40,72,73,88,128,129,208,216,232,233"
µÎ²¨ºñ´ÑÀÚ_¿©,12,"1,40,88,120,121,128,129,200,208,216,232,233"
µÎ²¨ºñ¼Ò¿ï¸µÄ¿_³²,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
µÎ²¨ºñ¼Ò¿ï¸µÄ¿_¿©,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
·¹ÀÎÀú_³²,12,"1,40,48,72,88,120,121,128,129,200,208,224"
·¹ÀÎÀú_¿©,13,"1,40,48,72,88,120,121,128,129,200,208,216,224"
·Î±×_³²,13,"1,120,121,128,129,176,177,178,208,224,232,233,240"
·Î±×_¿©,16,"1,8,9,120,121,128,129,176,177,178,208,216,224,232,233,240"
·Îµå³ªÀÌÆ®_³²,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
·Îµå³ªÀÌÆ®_¿©,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
·Î¾â°¡µå_³²,14,"1,88,120,121,128,129,160,176,177,178,208,232,233,240"
·Î¾â°¡µå_¿©,18,"1,40,48,72,73,88,120,121,128,129,176,177,178,208,224,232,233,240"
·é³ªÀÌÆ®_³²,19,"1,8,9,40,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224"
·é³ªÀÌÆ®_¿©,19,"1,40,64,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224,240"
·é³ªÀÌÆ®»Ú¶ì_³²,19,"1,8,9,40,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224"
·é³ªÀÌÆ®»Ú¶ì_¿©,19,"1,40,64,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224,240"
·éµå·¡°ï_³²,17,"1,8,9,40,72,73,88,128,129,176,177,178,200,208,216,217,224"
·éµå·¡°ï_¿©,17,"1,8,9,40,72,73,88,128,129,176,177,178,200,208,216,217,224"
¸®º§¸®¿Â_³²,16,"1,72,73,120,121,128,129,160,176,177,178,208,216,232,233,240"
¸®º§¸®¿Â_¿©,16,"1,72,73,120,121,128,129,160,176,177,178,208,216,232,233,240"
¸¶¹ý»ç_³²,22,"1,8,9,40,64,65,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
¸¶¹ý»ç_¿©,18,"1,8,9,40,48,72,128,129,176,177,178,200,208,216,224,232,233,240"
¸ùÅ©_³²,18,"1,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
¸ùÅ©_¿©,10,"1,8,9,40,72,73,120,121,128,129"
¸ùÅ©¾ËÆÄÄ«_³²,18,"1,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
¸ùÅ©¾ËÆÄÄ«_¿©,10,"1,8,9,40,72,73,120,121,128,129"
¹«Èñ_³²,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
¹«Èñ_¿©,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
¹«Èñ¹ÙÁö_¿©,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
¹ÌÄÉ´Ð_³²,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
¹ÌÄÉ´Ð_¸¶µµ±â¾î_³²,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
¹ÌÄÉ´Ð_¸¶µµ±â¾î_¿©,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_³²,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
¹ÌÄÉ´Ð_¸¶µµ¾Æ¸Ó_¿©,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
¹ÌÄÉ´Ð_¿©,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
¹ÌÄÉ´Ð¸äµÅÁö_³²,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
¹ÌÄÉ´Ð¸äµÅÁö_¿©,16,"1,40,88,120,121,128,129,160,176,177,178,200,208,232,233,240"
¹Î½ºÆ®·²_³²,18,"1,8,9,40,72,73,88,120,121,128,129,160,176,177,178,208,232,233"
¹Î½ºÆ®·²_¿©,18,"1,8,9,40,72,73,88,120,121,128,129,200,208,216,224,232,233,240"
¹Ùµå_³²,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
¹Ùµå_¿©,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
»çÀÚ±â»ç_³²,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
»çÀÚ±â»ç_¿©,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
»çÀÚ·Îµå³ªÀÌÆ®_³²,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
»çÀÚ·Îµå³ªÀÌÆ®_¿©,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
»çÀÚ·Î¾â°¡µå_³²,14,"1,88,120,121,128,129,160,176,177,178,208,232,233,240"
»çÀÚ·Î¾â°¡µå_¿©,18,"1,40,48,72,73,88,120,121,128,129,176,177,178,208,224,232,233,240"
»çÀÚ·é³ªÀÌÆ®_³²,19,"1,8,9,40,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224"
»çÀÚ·é³ªÀÌÆ®_¿©,19,"1,40,64,72,73,88,128,129,168,169,176,177,178,200,208,216,217,224,240"
»çÀÚÅ©·ç¼¼ÀÌ´õ_³²,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
»çÀÚÅ©·ç¼¼ÀÌ´õ_¿©,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
»çÀÚÆÈ¶óµò_³²,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
»çÀÚÆÈ¶óµò_¿©,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
»óÀÎ_³²,14,"1,128,129,176,177,178,200,208,216,217,224,232,233,240"
»óÀÎ_¿©,15,"1,72,73,128,129,176,177,178,200,208,216,217,224,232,233"
»óÀÎ¸äµÅÁö_³²,14,"1,128,129,176,177,178,200,208,216,217,224,232,233,240"
»óÀÎ¸äµÅÁö_¿©,15,"1,72,73,128,129,176,177,178,200,208,216,217,224,232,233"
¼ºÁ¦_³²,16,"1,48,72,88,120,121,128,129,160,176,177,178,200,208,232,233"
¼ºÁ¦_³²_Å»°Í,14,"1,48,88,120,121,128,129,160,176,177,178,208,232,233"
¼ºÁ¦_¿©,14,"1,48,88,120,121,128,129,160,176,177,178,208,232,233"
¼ºÁ¦_¿©_Å»°Í,14,"1,48,88,120,121,128,129,160,176,177,178,208,232,233"
¼ºÁ¦À¶ÇÕ_³²,14,"1,48,88,120,121,128,129,160,176,177,178,208,232,233"
¼ºÁ¦À¶ÇÕ_¿©,14,"1,48,88,120,121,128,129,160,176,177,178,208,232,233"
¼ºÁ÷ÀÚ_³²,17,"1,8,9,72,73,128,129,176,177,178,200,208,216,224,232,233,240"
¼ºÁ÷ÀÚ_¿©,17,"1,8,9,40,72,73,128,129,176,177,178,208,209,224,232,233,240"
¼ºÅõ»ç2_³²,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
¼ºÅõ»ç2_¿©,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
¼ºÅõ»ç_³²,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
¼ºÅõ»ç_¿©,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
¼¼ÀÌÁö_³²,14,"1,72,73,128,129,176,177,178,208,216,224,232,233,240"
¼¼ÀÌÁö_¿©,20,"1,8,9,64,65,72,73,128,129,168,169,176,177,178,208,216,224,232,233,240"
¼Ò¼­·¯_³²,16,"1,40,72,73,88,128,129,160,176,177,178,208,216,232,233,240"
¼Ò¼­·¯_¿©,19,"1,40,72,73,88,89,120,121,128,129,176,177,178,208,216,224,232,233,240"
¼Ò¿ï¸®ÆÛ_³²,16,"1,40,72,88,120,121,128,129,136,160,176,177,178,200,208,216"
¼Ò¿ï¸®ÆÛ_¿©,16,"1,40,72,88,120,121,128,129,136,160,176,177,178,200,208,216"
¼Ò¿ï¸µÄ¿_³²,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
¼Ò¿ï¸µÄ¿_¿©,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
½¦µµ¿ìÃ¼ÀÌ¼­_³²,17,"1,40,48,72,120,121,128,129,160,176,177,178,208,216,232,233,240"
½¦µµ¿ìÃ¼ÀÌ¼­_¿©,16,"1,40,48,120,121,128,129,176,177,178,208,216,224,232,233,240"
½´¶ó_³²,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
½´¶ó_¿©,15,"1,40,88,120,121,128,129,176,177,178,200,224,232,233,240"
½´¶ó¾ËÆÄÄ«_³²,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
½´¶ó¾ËÆÄÄ«_¿©,15,"1,40,88,120,121,128,129,176,177,178,200,224,232,233,240"
½´ÆÛ³ëºñ½º_³²,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
½´ÆÛ³ëºñ½º_¿©,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
½´ÆÛ³ëºñ½ºÆ÷¸µ_³²,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
½´ÆÛ³ëºñ½ºÆ÷¸µ_¿©,17,"1,48,72,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
½º³ªÀÌÆÛ_³²,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
½º³ªÀÌÆÛ_¿©,12,"1,8,9,120,121,128,129,208,224,232,233,240"
½ºÅäÄ¿_³²,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
½ºÅäÄ¿_¿©,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ_³²,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
½ÅÆäÄÚÅ©·ç¼¼ÀÌ´õ_¿©,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
¾ÆÅ©ºñ¼ó_³²,13,"1,48,88,120,121,128,129,160,200,208,232,233,240"
¾ÆÅ©ºñ¼ó_¿©,11,"1,120,121,128,129,216,217,224,232,233,240"
¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_³²,13,"1,48,88,120,121,128,129,160,200,208,232,233,240"
¾ÆÅ©ºñ¼ó¾ËÆÄÄ«_¿©,11,"1,120,121,128,129,216,217,224,232,233,240"
¾î»õ½Å_³²,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
¾î¼¼½Å_³²,13,"1,120,121,128,129,176,177,178,208,224,232,233,240"
¾î¼¼½Å_¿©,16,"1,8,9,120,121,128,129,176,177,178,208,216,224,232,233,240"
¾î¼¼½ÅÅ©·Î½º_³²,13,"1,120,121,128,129,176,177,178,208,224,232,233,240"
¾î¼¼½ÅÅ©·Î½º_¿©,16,"1,8,9,120,121,128,129,176,177,178,208,216,224,232,233,240"
¿©¿ì¸¶¹ý»ç_³²,22,"1,8,9,40,64,65,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
¿©¿ì¸¶¹ý»ç_¿©,18,"1,8,9,40,48,72,128,129,176,177,178,200,208,216,224,232,233,240"
¿©¿ì¼¼ÀÌÁö_³²,14,"1,72,73,128,129,176,177,178,208,216,224,232,233,240"
¿©¿ì¼¼ÀÌÁö_¿©,20,"1,8,9,64,65,72,73,128,129,168,169,176,177,178,208,216,224,232,233,240"
¿©¿ì¼Ò¼­·¯_³²,16,"1,40,72,73,88,128,129,160,176,177,178,208,216,232,233,240"
¿©¿ì¼Ò¼­·¯_¿©,19,"1,40,72,73,88,89,120,121,128,129,176,177,178,208,216,224,232,233,240"
¿©¿ì¿ö·Ï_³²,18,"1,48,64,65,72,73,88,128,129,176,177,178,200,208,216,232,233,240"
¿©¿ì¿ö·Ï_¿©,18,"1,48,64,65,72,73,88,128,129,176,177,178,208,216,224,232,233,240"
¿©¿ìÀ§Àúµå_³²,14,"1,72,73,128,129,176,177,178,208,216,224,232,233,240"
¿©¿ìÀ§Àúµå_¿©,20,"1,8,9,64,65,72,73,128,129,168,169,176,177,178,208,216,224,232,233,240"
¿©¿ìÇÁ·ÎÆä¼­_³²,14,"1,72,73,128,129,176,177,178,208,216,224,232,233,240"
¿©¿ìÇÁ·ÎÆä¼­_¿©,20,"1,8,9,64,65,72,73,128,129,168,169,176,177,178,208,216,224,232,233,240"
¿©¿ìÇÏÀÌÀ§Àúµå_³²,14,"1,72,73,128,129,176,177,178,208,216,224,232,233,240"
¿©¿ìÇÏÀÌÀ§Àúµå_¿©,20,"1,8,9,64,65,72,73,128,129,168,169,176,177,178,208,216,224,232,233,240"
¿¬±Ý¼ú»ç_³²,14,"1,72,120,121,128,129,176,177,178,208,224,232,233,240"
¿¬±Ý¼ú»ç_¿©,14,"1,72,73,120,121,128,129,176,177,178,208,216,217,224"
¿¬±Ý¼ú»ç¸äµÅÁö_³²,14,"1,72,120,121,128,129,176,177,178,208,224,232,233,240"
¿¬±Ý¼ú»ç¸äµÅÁö_¿©,14,"1,72,73,120,121,128,129,176,177,178,208,216,217,224"
¿ïÇÁ·¹ÀÎÀú_³²,12,"1,40,48,72,88,120,121,128,129,200,208,224"
¿ïÇÁ·¹ÀÎÀú_¿©,13,"1,40,48,72,88,120,121,128,129,200,208,216,224"
¿ö·Ï_³²,18,"1,48,64,65,72,73,88,128,129,176,177,178,200,208,216,232,233,240"
¿ö·Ï_¿©,18,"1,48,64,65,72,73,88,128,129,176,177,178,208,216,224,232,233,240"
¿ø´õ·¯_³²,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
¿ø´õ·¯_¿©,18,"1,8,9,40,72,73,88,120,121,128,129,200,208,216,224,232,233,240"
À§Àúµå_³²,14,"1,72,73,128,129,176,177,178,208,216,224,232,233,240"
À§Àúµå_¿©,20,"1,8,9,64,65,72,73,128,129,168,169,176,177,178,208,216,224,232,233,240"
Á¦³×¸¯_³²,14,"1,72,73,88,120,121,128,129,160,200,208,232,233,240"
Á¦³×¸¯_¿©,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
Á¦³×¸¯¸äµÅÁö_³²,14,"1,72,73,88,120,121,128,129,160,200,208,232,233,240"
Á¦³×¸¯¸äµÅÁö_¿©,16,"1,40,88,120,121,128,129,176,177,178,200,208,224,232,233,240"
Á¦Ã¶°ø_³²,13,"1,120,121,128,129,176,177,178,208,224,232,233,240"
Á¦Ã¶°ø_¿©,14,"1,72,73,120,121,128,129,176,177,178,208,216,217,224"
Á¦Ã¶°ø¸äµÅÁö_³²,13,"1,120,121,128,129,176,177,178,208,224,232,233,240"
Á¦Ã¶°ø¸äµÅÁö_¿©,14,"1,72,73,120,121,128,129,176,177,178,208,216,217,224"
Áý½Ã_¿©,12,"1,8,9,120,121,128,129,208,224,232,233,240"
Ã¨ÇÇ¿Â_³²,18,"1,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
Ã¨ÇÇ¿Â_¿©,10,"1,8,9,40,72,73,120,121,128,129"
Ã¨ÇÇ¿Â¾ËÆÄÄ«_³²,18,"1,40,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
Ã¨ÇÇ¿Â¾ËÆÄÄ«_¿©,10,"1,8,9,40,72,73,120,121,128,129"
ÃÊº¸ÀÚ_³²,16,"1,72,73,120,121,128,129,160,176,177,178,208,216,232,233,240"
ÃÊº¸ÀÚ_¿©,16,"1,72,73,120,121,128,129,160,176,177,178,208,216,232,233,240"
ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_³²,19,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_¿©,20,"1,40,48,72,73,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
ÄÌº£·Î½ºµµµÏ_³²,17,"1,40,88,120,121,128,129,176,177,178,200,208,216,224,232,233,240"
ÄÌº£·Î½ºµµµÏ_¿©,12,"1,128,129,176,177,178,200,208,224,232,233,240"
ÄÌº£·Î½º·Î±×_³²,13,"1,120,121,128,129,176,177,178,208,224,232,233,240"
ÄÌº£·Î½º·Î±×_¿©,16,"1,8,9,120,121,128,129,176,177,178,208,216,224,232,233,240"
ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_³²,17,"1,40,48,72,120,121,128,129,160,176,177,178,208,216,232,233,240"
ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_¿©,16,"1,40,48,120,121,128,129,176,177,178,208,216,224,232,233,240"
ÄÌº£·Î½º½ºÅäÄ¿_³²,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
ÄÌº£·Î½º½ºÅäÄ¿_¿©,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
Å©¶ó¿î_³²,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
Å©·ç_³²,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
Å©·ç_¿©,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
Å©¸®¿¡ÀÌÅÍ_³²,14,"1,72,120,121,128,129,176,177,178,208,224,232,233,240"
Å©¸®¿¡ÀÌÅÍ_¿©,14,"1,72,73,120,121,128,129,176,177,178,208,216,217,224"
Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_³²,14,"1,72,120,121,128,129,176,177,178,208,224,232,233,240"
Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_¿©,14,"1,72,73,120,121,128,129,176,177,178,208,216,217,224"
Å¸Á¶±Ã¼ö_³²,13,"1,8,9,72,73,128,129,200,208,216,224,232,233"
Å¸Á¶±Ã¼ö_¿©,14,"1,8,9,48,72,73,128,129,200,208,216,224,232,233"
Å¸Á¶·¹ÀÎÁ®_³²,12,"1,40,48,72,88,120,121,128,129,200,208,224"
Å¸Á¶·¹ÀÎÁ®_¿©,13,"1,40,48,72,88,120,121,128,129,200,208,216,224"
Å¸Á¶¹«Èñ_³²,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
Å¸Á¶¹«Èñ_¿©,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
Å¸Á¶¹Î½ºÆ®·²_³²,18,"1,8,9,40,72,73,88,120,121,128,129,160,176,177,178,208,232,233"
Å¸Á¶¹Ùµå_³²,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
Å¸Á¶¹Ùµå_¿©,13,"1,40,48,72,88,120,121,128,129,200,216,232,233"
Å¸Á¶½º³ªÀÌÆÛ_³²,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
Å¸Á¶½º³ªÀÌÆÛ_¿©,12,"1,8,9,120,121,128,129,208,224,232,233,240"
Å¸Á¶¿ø´õ·¯_¿©,18,"1,8,9,40,72,73,88,120,121,128,129,200,208,216,224,232,233,240"
Å¸Á¶Å©¶ó¿î_³²,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
Å¸Á¶ÇåÅÍ_³²,13,"1,40,120,121,128,129,200,208,216,224,232,233,240"
Å¸Á¶ÇåÅÍ_¿©,12,"1,8,9,120,121,128,129,208,224,232,233,240"
ÅÂ±Ç¼Ò³â_³²,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
ÅÂ±Ç¼Ò³â_¿©,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
ÅÂ±Ç¼Ò³âÆ÷¸µ_³²,15,"1,72,120,121,128,129,160,176,177,178,200,208,232,233,240"
ÅÂ±Ç¼Ò³âÆ÷¸µ_¿©,19,"1,72,73,88,120,121,128,129,176,177,178,200,208,216,217,224,232,233,240"
ÆÈ¶óµò_³²,19,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,216,217,232,233,240"
ÆÈ¶óµò_¿©,17,"1,8,9,72,73,128,129,160,168,169,176,177,178,208,232,233,240"
