"Base","Style","From","R","G","B","ShiftR","ShiftG","ShiftB"
"dog_thief_male","20","1","0,74","1,12","0,92","-26","18","-8"
"dragon_knight_chicken_³²","10","9","1,15","0,85","0,8","18","-8","-14"
"dragon_knight_chicken_³²","11","9","0,82","1,02","1,2","-18","0","24"
"dragon_knight_chicken_³²","12","9","0,78","1,18","0,82","-20","22","-18"
"dragon_knight_chicken_³²","13","9","1,2","0,92","1,15","22","-4","18"
"dragon_knight_chicken_³²","14","9","0,82","1,15","1,16","-20","18","20"
"dragon_knight_chicken_³²","15","9","1,18","1,06","0,72","22","12","-28"
"dragon_knight_chicken_³²","16","6","1,2","0,76","0,72","28","-18","-22"
"dragon_knight_chicken_³²","17","6","0,72","0,96","1,22","-28","-2","30"
"dragon_knight_chicken_³²","18","1","0,78","0,88","1,18","-24","-10","28"
"dragon_knight_chicken_³²","19","1","1,18","0,82","1,02","26","-16","8"
"dragon_knight_chicken_³²","20","1","0,74","1,12","0,92","-26","18","-8"
"dragon_knight_chicken_¿©","10","9","1,15","0,85","0,8","18","-8","-14"
"dragon_knight_chicken_¿©","11","9","0,82","1,02","1,2","-18","0","24"
"dragon_knight_chicken_¿©","12","9","0,78","1,18","0,82","-20","22","-18"
"dragon_knight_chicken_¿©","13","9","1,2","0,92","1,15","22","-4","18"
"dragon_knight_chicken_¿©","14","9","0,82","1,15","1,16","-20","18","20"
"dragon_knight_chicken_¿©","15","9","1,18","1,06","0,72","22","12","-28"
"dragon_knight_chicken_¿©","16","6","1,2","0,76","0,72","28","-18","-22"
"dragon_knight_chicken_¿©","17","6","0,72","0,96","1,22","-28","-2","30"
"dragon_knight_chicken_¿©","18","1","0,78","0,88","1,18","-24","-10","28"
"dragon_knight_chicken_¿©","19","1","1,18","0,82","1,02","26","-16","8"
"dragon_knight_chicken_¿©","20","1","0,74","1,12","0,92","-26","18","-8"
"dragon_knight_female","10","9","1,15","0,85","0,8","18","-8","-14"
"dragon_knight_female","11","9","0,82","1,02","1,2","-18","0","24"
"dragon_knight_female","12","9","0,78","1,18","0,82","-20","22","-18"
"dragon_knight_female","13","9","1,2","0,92","1,15","22","-4","18"
"dragon_knight_female","14","9","0,82","1,15","1,16","-20","18","20"
"dragon_knight_female","15","9","1,18","1,06","0,72","22","12","-28"
"dragon_knight_female","16","6","1,2","0,76","0,72","28","-18","-22"
"dragon_knight_female","17","6","0,72","0,96","1,22","-28","-2","30"
"dragon_knight_female","18","1","0,78","0,88","1,18","-24","-10","28"
"dragon_knight_female","19","1","1,18","0,82","1,02","26","-16","8"
"dragon_knight_female","20","1","0,74","1,12","0,92","-26","18","-8"
"dragon_knight_female_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"dragon_knight_female_riding","11","9","0,82","1,02","1,2","-18","0","24"
"dragon_knight_female_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"dragon_knight_female_riding","13","9","1,2","0,92","1,15","22","-4","18"
"dragon_knight_female_riding","14","9","0,82","1,15","1,16","-20","18","20"
"dragon_knight_female_riding","15","9","1,18","1,06","0,72","22","12","-28"
"dragon_knight_female_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"dragon_knight_female_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"dragon_knight_female_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"dragon_knight_female_riding","19","1","1,18","0,82","1,02","26","-16","8"
"dragon_knight_female_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"dragon_knight_male","10","9","1,15","0,85","0,8","18","-8","-14"
"dragon_knight_male","11","9","0,82","1,02","1,2","-18","0","24"
"dragon_knight_male","12","9","0,78","1,18","0,82","-20","22","-18"
"dragon_knight_male","13","9","1,2","0,92","1,15","22","-4","18"
"dragon_knight_male","14","9","0,82","1,15","1,16","-20","18","20"
"dragon_knight_male","15","9","1,18","1,06","0,72","22","12","-28"
"dragon_knight_male","16","6","1,2","0,76","0,72","28","-18","-22"
"dragon_knight_male","17","6","0,72","0,96","1,22","-28","-2","30"
"dragon_knight_male","18","1","0,78","0,88","1,18","-24","-10","28"
"dragon_knight_male","19","1","1,18","0,82","1,02","26","-16","8"
"dragon_knight_male","20","1","0,74","1,12","0,92","-26","18","-8"
"dragon_knight_male_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"dragon_knight_male_riding","11","9","0,82","1,02","1,2","-18","0","24"
"dragon_knight_male_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"dragon_knight_male_riding","13","9","1,2","0,92","1,15","22","-4","18"
"dragon_knight_male_riding","14","9","0,82","1,15","1,16","-20","18","20"
"dragon_knight_male_riding","15","9","1,18","1,06","0,72","22","12","-28"
"dragon_knight_male_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"dragon_knight_male_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"dragon_knight_male_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"dragon_knight_male_riding","19","1","1,18","0,82","1,02","26","-16","8"
"dragon_knight_male_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"dragon_knight_riding_³²","10","9","1,15","0,85","0,8","18","-8","-14"
"dragon_knight_riding_³²","11","9","0,82","1,02","1,2","-18","0","24"
"dragon_knight_riding_³²","12","9","0,78","1,18","0,82","-20","22","-18"
"dragon_knight_riding_³²","13","9","1,2","0,92","1,15","22","-4","18"
"dragon_knight_riding_³²","14","9","0,82","1,15","1,16","-20","18","20"
"dragon_knight_riding_³²","15","9","1,18","1,06","0,72","22","12","-28"
"dragon_knight_riding_³²","16","6","1,2","0,76","0,72","28","-18","-22"
"dragon_knight_riding_³²","17","6","0,72","0,96","1,22","-28","-2","30"
"dragon_knight_riding_³²","18","1","0,78","0,88","1,18","-24","-10","28"
"dragon_knight_riding_³²","19","1","1,18","0,82","1,02","26","-16","8"
"dragon_knight_riding_³²","20","1","0,74","1,12","0,92","-26","18","-8"
"dragon_knight_riding_¿©","10","9","1,15","0,85","0,8","18","-8","-14"
"dragon_knight_riding_¿©","11","9","0,82","1,02","1,2","-18","0","24"
"dragon_knight_riding_¿©","12","9","0,78","1,18","0,82","-20","22","-18"
"dragon_knight_riding_¿©","13","9","1,2","0,92","1,15","22","-4","18"
"dragon_knight_riding_¿©","14","9","0,82","1,15","1,16","-20","18","20"
"dragon_knight_riding_¿©","15","9","1,18","1,06","0,72","22","12","-28"
"dragon_knight_riding_¿©","16","6","1,2","0,76","0,72","28","-18","-22"
"dragon_knight_riding_¿©","17","6","0,72","0,96","1,22","-28","-2","30"
"dragon_knight_riding_¿©","18","1","0,78","0,88","1,18","-24","-10","28"
"dragon_knight_riding_¿©","19","1","1,18","0,82","1,02","26","-16","8"
"dragon_knight_riding_¿©","20","1","0,74","1,12","0,92","-26","18","-8"
"dragon_knight_³²","10","9","1,15","0,85","0,8","18","-8","-14"
"dragon_knight_³²","11","9","0,82","1,02","1,2","-18","0","24"
"dragon_knight_³²","12","9","0,78","1,18","0,82","-20","22","-18"
"dragon_knight_³²","13","9","1,2","0,92","1,15","22","-4","18"
"dragon_knight_³²","14","9","0,82","1,15","1,16","-20","18","20"
"dragon_knight_³²","15","9","1,18","1,06","0,72","22","12","-28"
"dragon_knight_³²","16","6","1,2","0,76","0,72","28","-18","-22"
"dragon_knight_³²","17","6","0,72","0,96","1,22","-28","-2","30"
"dragon_knight_³²","18","1","0,78","0,88","1,18","-24","-10","28"
"dragon_knight_³²","19","1","1,18","0,82","1,02","26","-16","8"
"dragon_knight_³²","20","1","0,74","1,12","0,92","-26","18","-8"
"dragon_knight_¿©","10","9","1,15","0,85","0,8","18","-8","-14"
"dragon_knight_¿©","11","9","0,82","1,02","1,2","-18","0","24"
"dragon_knight_¿©","12","9","0,78","1,18","0,82","-20","22","-18"
"dragon_knight_¿©","13","9","1,2","0,92","1,15","22","-4","18"
"dragon_knight_¿©","14","9","0,82","1,15","1,16","-20","18","20"
"dragon_knight_¿©","15","9","1,18","1,06","0,72","22","12","-28"
"dragon_knight_¿©","16","6","1,2","0,76","0,72","28","-18","-22"
"dragon_knight_¿©","17","6","0,72","0,96","1,22","-28","-2","30"
"dragon_knight_¿©","18","1","0,78","0,88","1,18","-24","-10","28"
"dragon_knight_¿©","19","1","1,18","0,82","1,02","26","-16","8"
"dragon_knight_¿©","20","1","0,74","1,12","0,92","-26","18","-8"
"elemental_master_female_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"elemental_master_female_riding","11","9","0,82","1,02","1,2","-18","0","24"
"elemental_master_female_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"elemental_master_female_riding","13","9","1,2","0,92","1,15","22","-4","18"
"elemental_master_female_riding","14","9","0,82","1,15","1,16","-20","18","20"
"elemental_master_female_riding","15","9","1,18","1,06","0,72","22","12","-28"
"elemental_master_female_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"elemental_master_female_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"elemental_master_female_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"elemental_master_female_riding","19","1","1,18","0,82","1,02","26","-16","8"
"elemental_master_female_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"elemental_master_male_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"elemental_master_male_riding","11","9","0,82","1,02","1,2","-18","0","24"
"elemental_master_male_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"elemental_master_male_riding","13","9","1,2","0,92","1,15","22","-4","18"
"elemental_master_male_riding","14","9","0,82","1,15","1,16","-20","18","20"
"elemental_master_male_riding","15","9","1,18","1,06","0,72","22","12","-28"
"elemental_master_male_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"elemental_master_male_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"elemental_master_male_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"elemental_master_male_riding","19","1","1,18","0,82","1,02","26","-16","8"
"elemental_master_male_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"elemetal_master_female","10","9","1,15","0,85","0,8","18","-8","-14"
"elemetal_master_female","11","9","0,82","1,02","1,2","-18","0","24"
"elemetal_master_female","12","9","0,78","1,18","0,82","-20","22","-18"
"elemetal_master_female","13","9","1,2","0,92","1,15","22","-4","18"
"elemetal_master_female","14","9","0,82","1,15","1,16","-20","18","20"
"elemetal_master_female","15","9","1,18","1,06","0,72","22","12","-28"
"elemetal_master_female","16","6","1,2","0,76","0,72","28","-18","-22"
"elemetal_master_female","17","6","0,72","0,96","1,22","-28","-2","30"
"elemetal_master_female","18","1","0,78","0,88","1,18","-24","-10","28"
"elemetal_master_female","19","1","1,18","0,82","1,02","26","-16","8"
"elemetal_master_female","20","1","0,74","1,12","0,92","-26","18","-8"
"elemetal_master_female_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"elemetal_master_female_riding","11","9","0,82","1,02","1,2","-18","0","24"
"elemetal_master_female_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"elemetal_master_female_riding","13","9","1,2","0,92","1,15","22","-4","18"
"elemetal_master_female_riding","14","9","0,82","1,15","1,16","-20","18","20"
"elemetal_master_female_riding","15","9","1,18","1,06","0,72","22","12","-28"
"elemetal_master_female_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"elemetal_master_female_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"elemetal_master_female_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"elemetal_master_female_riding","19","1","1,18","0,82","1,02","26","-16","8"
"elemetal_master_female_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"elemetal_master_male","10","9","1,15","0,85","0,8","18","-8","-14"
"elemetal_master_male","11","9","0,82","1,02","1,2","-18","0","24"
"elemetal_master_male","12","9","0,78","1,18","0,82","-20","22","-18"
"elemetal_master_male","13","9","1,2","0,92","1,15","22","-4","18"
"elemetal_master_male","14","9","0,82","1,15","1,16","-20","18","20"
"elemetal_master_male","15","9","1,18","1,06","0,72","22","12","-28"
"elemetal_master_male","16","6","1,2","0,76","0,72","28","-18","-22"
"elemetal_master_male","17","6","0,72","0,96","1,22","-28","-2","30"
"elemetal_master_male","18","1","0,78","0,88","1,18","-24","-10","28"
"elemetal_master_male","19","1","1,18","0,82","1,02","26","-16","8"
"elemetal_master_male","20","1","0,74","1,12","0,92","-26","18","-8"
"elemetal_master_male_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"elemetal_master_male_riding","11","9","0,82","1,02","1,2","-18","0","24"
"elemetal_master_male_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"elemetal_master_male_riding","13","9","1,2","0,92","1,15","22","-4","18"
"elemetal_master_male_riding","14","9","0,82","1,15","1,16","-20","18","20"
"elemetal_master_male_riding","15","9","1,18","1,06","0,72","22","12","-28"
"elemetal_master_male_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"elemetal_master_male_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"elemetal_master_male_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"elemetal_master_male_riding","19","1","1,18","0,82","1,02","26","-16","8"
"elemetal_master_male_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"elemetal_master_riding_³²","10","9","1,15","0,85","0,8","18","-8","-14"
"elemetal_master_riding_³²","11","9","0,82","1,02","1,2","-18","0","24"
"elemetal_master_riding_³²","12","9","0,78","1,18","0,82","-20","22","-18"
"elemetal_master_riding_³²","13","9","1,2","0,92","1,15","22","-4","18"
"elemetal_master_riding_³²","14","9","0,82","1,15","1,16","-20","18","20"
"elemetal_master_riding_³²","15","9","1,18","1,06","0,72","22","12","-28"
"elemetal_master_riding_³²","16","6","1,2","0,76","0,72","28","-18","-22"
"elemetal_master_riding_³²","17","6","0,72","0,96","1,22","-28","-2","30"
"elemetal_master_riding_³²","18","1","0,78","0,88","1,18","-24","-10","28"
"elemetal_master_riding_³²","19","1","1,18","0,82","1,02","26","-16","8"
"elemetal_master_riding_³²","20","1","0,74","1,12","0,92","-26","18","-8"
"elemetal_master_riding_¿©","10","9","1,15","0,85","0,8","18","-8","-14"
"elemetal_master_riding_¿©","11","9","0,82","1,02","1,2","-18","0","24"
"elemetal_master_riding_¿©","12","9","0,78","1,18","0,82","-20","22","-18"
"elemetal_master_riding_¿©","13","9","1,2","0,92","1,15","22","-4","18"
"elemetal_master_riding_¿©","14","9","0,82","1,15","1,16","-20","18","20"
"elemetal_master_riding_¿©","15","9","1,18","1,06","0,72","22","12","-28"
"elemetal_master_riding_¿©","16","6","1,2","0,76","0,72","28","-18","-22"
"elemetal_master_riding_¿©","17","6","0,72","0,96","1,22","-28","-2","30"
"elemetal_master_riding_¿©","18","1","0,78","0,88","1,18","-24","-10","28"
"elemetal_master_riding_¿©","19","1","1,18","0,82","1,02","26","-16","8"
"elemetal_master_riding_¿©","20","1","0,74","1,12","0,92","-26","18","-8"
"elemetal_master_³²","10","9","1,15","0,85","0,8","18","-8","-14"
"elemetal_master_³²","11","9","0,82","1,02","1,2","-18","0","24"
"elemetal_master_³²","12","9","0,78","1,18","0,82","-20","22","-18"
"elemetal_master_³²","13","9","1,2","0,92","1,15","22","-4","18"
"elemetal_master_³²","14","9","0,82","1,15","1,16","-20","18","20"
"elemetal_master_³²","15","9","1,18","1,06","0,72","22","12","-28"
"elemetal_master_³²","16","6","1,2","0,76","0,72","28","-18","-22"
"elemetal_master_³²","17","6","0,72","0,96","1,22","-28","-2","30"
"elemetal_master_³²","18","1","0,78","0,88","1,18","-24","-10","28"
"elemetal_master_³²","19","1","1,18","0,82","1,02","26","-16","8"
"elemetal_master_³²","20","1","0,74","1,12","0,92","-26","18","-8"
"elemetal_master_¿©","10","9","1,15","0,85","0,8","18","-8","-14"
"elemetal_master_¿©","11","9","0,82","1,02","1,2","-18","0","24"
"elemetal_master_¿©","12","9","0,78","1,18","0,82","-20","22","-18"
"elemetal_master_¿©","13","9","1,2","0,92","1,15","22","-4","18"
"elemetal_master_¿©","14","9","0,82","1,15","1,16","-20","18","20"
"elemetal_master_¿©","15","9","1,18","1,06","0,72","22","12","-28"
"elemetal_master_¿©","16","6","1,2","0,76","0,72","28","-18","-22"
"elemetal_master_¿©","17","6","0,72","0,96","1,22","-28","-2","30"
"elemetal_master_¿©","18","1","0,78","0,88","1,18","-24","-10","28"
"elemetal_master_¿©","19","1","1,18","0,82","1,02","26","-16","8"
"elemetal_master_¿©","20","1","0,74","1,12","0,92","-26","18","-8"
"frog_kagerou_male","10","9","1,15","0,85","0,8","18","-8","-14"
"frog_kagerou_male","11","9","0,82","1,02","1,2","-18","0","24"
"frog_kagerou_male","12","9","0,78","1,18","0,82","-20","22","-18"
"frog_kagerou_male","13","9","1,2","0,92","1,15","22","-4","18"
"frog_kagerou_male","14","9","0,82","1,15","1,16","-20","18","20"
"frog_kagerou_male","15","9","1,18","1,06","0,72","22","12","-28"
"frog_kagerou_male","16","6","1,2","0,76","0,72","28","-18","-22"
"frog_kagerou_male","17","6","0,72","0,96","1,22","-28","-2","30"
"frog_kagerou_male","18","1","0,78","0,88","1,18","-24","-10","28"
"frog_kagerou_male","19","1","1,18","0,82","1,02","26","-16","8"
"frog_kagerou_male","20","1","0,74","1,12","0,92","-26","18","-8"
"frog_kagerou_³²","10","9","1,15","0,85","0,8","18","-8","-14"
"frog_kagerou_³²","11","9","0,82","1,02","1,2","-18","0","24"
"frog_kagerou_³²","12","9","0,78","1,18","0,82","-20","22","-18"
"frog_kagerou_³²","13","9","1,2","0,92","1,15","22","-4","18"
"frog_kagerou_³²","14","9","0,82","1,15","1,16","-20","18","20"
"frog_kagerou_³²","15","9","1,18","1,06","0,72","22","12","-28"
"frog_kagerou_³²","16","6","1,2","0,76","0,72","28","-18","-22"
"frog_kagerou_³²","17","6","0,72","0,96","1,22","-28","-2","30"
"frog_kagerou_³²","18","1","0,78","0,88","1,18","-24","-10","28"
"frog_kagerou_³²","19","1","1,18","0,82","1,02","26","-16","8"
"frog_kagerou_³²","20","1","0,74","1,12","0,92","-26","18","-8"
"frog_ninja_female","10","9","1,15","0,85","0,8","18","-8","-14"
"frog_ninja_female","11","9","0,82","1,02","1,2","-18","0","24"
"frog_ninja_female","12","9","0,78","1,18","0,82","-20","22","-18"
"frog_ninja_female","13","9","1,2","0,92","1,15","22","-4","18"
"frog_ninja_female","14","9","0,82","1,15","1,16","-20","18","20"
"frog_ninja_female","15","9","1,18","1,06","0,72","22","12","-28"
"frog_ninja_female","16","6","1,2","0,76","0,72","28","-18","-22"
"frog_ninja_female","17","6","0,72","0,96","1,22","-28","-2","30"
"frog_ninja_female","18","1","0,78","0,88","1,18","-24","-10","28"
"frog_ninja_female","19","1","1,18","0,82","1,02","26","-16","8"
"frog_ninja_female","20","1","0,74","1,12","0,92","-26","18","-8"
"frog_ninja_male","10","9","1,15","0,85","0,8","18","-8","-14"
"frog_ninja_male","11","9","0,82","1,02","1,2","-18","0","24"
"frog_ninja_male","12","9","0,78","1,18","0,82","-20","22","-18"
"frog_ninja_male","13","9","1,2","0,92","1,15","22","-4","18"
"frog_ninja_male","14","9","0,82","1,15","1,16","-20","18","20"
"frog_ninja_male","15","9","1,18","1,06","0,72","22","12","-28"
"frog_ninja_male","16","6","1,2","0,76","0,72","28","-18","-22"
"frog_ninja_male","17","6","0,72","0,96","1,22","-28","-2","30"
"frog_ninja_male","18","1","0,78","0,88","1,18","-24","-10","28"
"frog_ninja_male","19","1","1,18","0,82","1,02","26","-16","8"
"frog_ninja_male","20","1","0,74","1,12","0,92","-26","18","-8"
"frog_oboro_female","10","9","1,15","0,85","0,8","18","-8","-14"
"frog_oboro_female","11","9","0,82","1,02","1,2","-18","0","24"
"frog_oboro_female","12","9","0,78","1,18","0,82","-20","22","-18"
"frog_oboro_female","13","9","1,2","0,92","1,15","22","-4","18"
"frog_oboro_female","14","9","0,82","1,15","1,16","-20","18","20"
"frog_oboro_female","15","9","1,18","1,06","0,72","22","12","-28"
"frog_oboro_female","16","6","1,2","0,76","0,72","28","-18","-22"
"frog_oboro_female","17","6","0,72","0,96","1,22","-28","-2","30"
"frog_oboro_female","18","1","0,78","0,88","1,18","-24","-10","28"
"frog_oboro_female","19","1","1,18","0,82","1,02","26","-16","8"
"frog_oboro_female","20","1","0,74","1,12","0,92","-26","18","-8"
"frog_oboro_¿©","10","9","1,15","0,85","0,8","18","-8","-14"
"frog_oboro_¿©","11","9","0,82","1,02","1,2","-18","0","24"
"frog_oboro_¿©","12","9","0,78","1,18","0,82","-20","22","-18"
"frog_oboro_¿©","13","9","1,2","0,92","1,15","22","-4","18"
"frog_oboro_¿©","14","9","0,82","1,15","1,16","-20","18","20"
"frog_oboro_¿©","15","9","1,18","1,06","0,72","22","12","-28"
"frog_oboro_¿©","16","6","1,2","0,76","0,72","28","-18","-22"
"frog_oboro_¿©","17","6","0,72","0,96","1,22","-28","-2","30"
"frog_oboro_¿©","18","1","0,78","0,88","1,18","-24","-10","28"
"frog_oboro_¿©","19","1","1,18","0,82","1,02","26","-16","8"
"frog_oboro_¿©","20","1","0,74","1,12","0,92","-26","18","-8"
"frog_soul_linker_female","10","9","1,15","0,85","0,8","18","-8","-14"
"frog_soul_linker_female","11","9","0,82","1,02","1,2","-18","0","24"
"frog_soul_linker_female","12","9","0,78","1,18","0,82","-20","22","-18"
"frog_soul_linker_female","13","9","1,2","0,92","1,15","22","-4","18"
"frog_soul_linker_female","14","9","0,82","1,15","1,16","-20","18","20"
"frog_soul_linker_female","15","9","1,18","1,06","0,72","22","12","-28"
"frog_soul_linker_female","16","6","1,2","0,76","0,72","28","-18","-22"
"frog_soul_linker_female","17","6","0,72","0,96","1,22","-28","-2","30"
"frog_soul_linker_female","18","1","0,78","0,88","1,18","-24","-10","28"
"frog_soul_linker_female","19","1","1,18","0,82","1,02","26","-16","8"
"frog_soul_linker_female","20","1","0,74","1,12","0,92","-26","18","-8"
"frog_soul_linker_male","10","9","1,15","0,85","0,8","18","-8","-14"
"frog_soul_linker_male","11","9","0,82","1,02","1,2","-18","0","24"
"frog_soul_linker_male","12","9","0,78","1,18","0,82","-20","22","-18"
"frog_soul_linker_male","13","9","1,2","0,92","1,15","22","-4","18"
"frog_soul_linker_male","14","9","0,82","1,15","1,16","-20","18","20"
"frog_soul_linker_male","15","9","1,18","1,06","0,72","22","12","-28"
"frog_soul_linker_male","16","6","1,2","0,76","0,72","28","-18","-22"
"frog_soul_linker_male","17","6","0,72","0,96","1,22","-28","-2","30"
"frog_soul_linker_male","18","1","0,78","0,88","1,18","-24","-10","28"
"frog_soul_linker_male","19","1","1,18","0,82","1,02","26","-16","8"
"frog_soul_linker_male","20","1","0,74","1,12","0,92","-26","18","-8"
"genetic_female","10","9","1,15","0,85","0,8","18","-8","-14"
"genetic_female","11","9","0,82","1,02","1,2","-18","0","24"
"genetic_female","12","9","0,78","1,18","0,82","-20","22","-18"
"genetic_female","13","9","1,2","0,92","1,15","22","-4","18"
"genetic_female","14","9","0,82","1,15","1,16","-20","18","20"
"genetic_female","15","9","1,18","1,06","0,72","22","12","-28"
"genetic_female","16","6","1,2","0,76","0,72","28","-18","-22"
"genetic_female","17","6","0,72","0,96","1,22","-28","-2","30"
"genetic_female","18","1","0,78","0,88","1,18","-24","-10","28"
"genetic_female","19","1","1,18","0,82","1,02","26","-16","8"
"genetic_female","20","1","0,74","1,12","0,92","-26","18","-8"
"genetic_female_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"genetic_female_riding","11","9","0,82","1,02","1,2","-18","0","24"
"genetic_female_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"genetic_female_riding","13","9","1,2","0,92","1,15","22","-4","18"
"genetic_female_riding","14","9","0,82","1,15","1,16","-20","18","20"
"genetic_female_riding","15","9","1,18","1,06","0,72","22","12","-28"
"genetic_female_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"genetic_female_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"genetic_female_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"genetic_female_riding","19","1","1,18","0,82","1,02","26","-16","8"
"genetic_female_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"genetic_male","10","9","1,15","0,85","0,8","18","-8","-14"
"genetic_male","11","9","0,82","1,02","1,2","-18","0","24"
"genetic_male","12","9","0,78","1,18","0,82","-20","22","-18"
"genetic_male","13","9","1,2","0,92","1,15","22","-4","18"
"genetic_male","14","9","0,82","1,15","1,16","-20","18","20"
"genetic_male","15","9","1,18","1,06","0,72","22","12","-28"
"genetic_male","16","6","1,2","0,76","0,72","28","-18","-22"
"genetic_male","17","6","0,72","0,96","1,22","-28","-2","30"
"genetic_male","18","1","0,78","0,88","1,18","-24","-10","28"
"genetic_male","19","1","1,18","0,82","1,02","26","-16","8"
"genetic_male","20","1","0,74","1,12","0,92","-26","18","-8"
"genetic_male_riding","10","9","1,15","0,85","0,8","18","-8","-14"
"genetic_male_riding","11","9","0,82","1,02","1,2","-18","0","24"
"genetic_male_riding","12","9","0,78","1,18","0,82","-20","22","-18"
"genetic_male_riding","13","9","1,2","0,92","1,15","22","-4","18"
"genetic_male_riding","14","9","0,82","1,15","1,16","-20","18","20"
"genetic_male_riding","15","9","1,18","1,06","0,72","22","12","-28"
"genetic_male_riding","16","6","1,2","0,76","0,72","28","-18","-22"
"genetic_male_riding","17","6","0,72","0,96","1,22","-28","-2","30"
"genetic_male_riding","18","1","0,78","0,88","1,18","-24","-10","28"
"genetic_male_riding","19","1","1,18","0,82","1,02","26","-16","8"
"genetic_male_riding","20","1","0,74","1,12","0,92","-26","18","-8"
"guillotine_cross_female","10","9","1,15","0,85","0,8","18","-8","-14"
"guillotine_cross_female","11","9","0,82","1,02","1,2","-18","0","24"
"guillotine_cross_female","12","9","0,78","1,18","0,82","-20","22","-18"
"guillotine_cross_female","13","9","1,2","0,92","1,15","22","-4","18"
"guillotine_cross_female","14","9","0,82","1,15","1,16","-20","18","20"
"guillotine_cross_female","15","9","1,18","1,06","0,72","22","12","-28"
"guillotine_cross_female","16","6","1,2","0,76","0,72","28","-18","-22"
"guillotine_cross_female","17","6","0,72","0,96","1,22","-28","-2","30"
"guillotine_cross_female","18","1","0,78","0,88","1,18","-24","-10","28"
"guillotine_cross_female","19","1","1,18","0,82","1,02","26","-16","8"
"guillotine_cross_female","20","1","0,74","1,12","0,92","-26","18","-8"
"guillotine_cross_male","10","9","1,15","0,85","0,8","18","-8","-14"
"guillotine_cross_male","11","9","0,82","1,02","1,2","-18","0","24"
"guillotine_cross_male","12","9","0,78","1,18","0,82","-20","22","-18"
"guillotine_cross_male","13","9","1,2","0,92","1,15","22","-4","18"
"guillotine_cross_male","14","9","0,82","1,15","1,16","-20","18","20"
"guillotine_cross_male","15","9","1,18","1,06","0,72","22","12","-28"
"guillotine_cross_male","16","6","1,2","0,76","0,72","28","-18","-22"
"guillotine_cross_male","17","6","0,72","0,96","1,22","-28","-2","30"
"guillotine_cross_male","18","1","0,78","0,88","1,18","-24","-10","28"
"guillotine_cross_male","19","1","1,18","0,82","1,02","26","-16","8"
"guillotine_cross_male","20","1","0,74","1,12","0,92","-26","18","-8"
"gunslinger_female","10","9","1,15","0,85","0,8","18","-8","-14"
"gunslinger_female","11","9","0,82","1,02","1,2","-18","0","24"
"gunslinger_female","12","9","0,78","1,18","0,82","-20","22","-18"
"gunslinger_female","13","9","1,2","0,92","1,15","22","-4","18"
"gunslinger_female","14","9","0,82","1,15","1,16","-20","18","20"
"gunslinger_female","15","9","1,18","1,06","0,72","22","12","-28"
"gunslinger_female","16","6","1,2","0,76","0,72","28","-18","-22"
"gunslinger_female","17","6","0,72","0,96","1,22","-28","-2","30"
"gunslinger_female","18","1","0,78","0,88","1,18","-24","-10","28"
"gunslinger_female","19","1","1,18","0,82","1,02","26","-16","8"
"gunslinger_female","20","1","0,74","1,12","0,92","-26","18","-8"
