"Base","Status","OldCount","OldMin","OldMax","NewCount","NewMin","NewMax","OldHas520","NewHas520","OldHas699","NewHas699"
"elemetal_master_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"elemetal_master_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"elemetal_master_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"elemetal_master_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"frog_kagerou_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"frog_oboro_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"hanbok_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"hanbok_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"hyper_novice_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"hyper_novice_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"hyper_novice_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"hyper_novice_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"imperial_guard_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"imperial_guard_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"imperial_guard_chicken_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"imperial_guard_chicken_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"imperial_guard_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"imperial_guard_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"inquisitor_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"inquisitor_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"inquisitor_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"inquisitor_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"kagerou_³²","both","700","0","699","700","0","699","True","True","True","True"
"meister_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"meister_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"meister_madogear1_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"meister_madogear1_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"meister_madogear2_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"meister_madogear2_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"meister_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"meister_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"night_watch_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"night_watch_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"night_watch_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"night_watch_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"º¹»ç¾ËÆÄÄ«_¿©","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"º¹»ç¾ËÆÄÄ«_³²","missing_in_meurag","5","0","4","0",,,"False","False","False","False"
"oboro_¿©","both","700","0","699","700","0","699","True","True","True","True"
"oktoberfest_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"oktoberfest_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"peco_rebellion_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"peco_rebellion_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"santa_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"santa_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"shadow_cross_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"shadow_cross_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"shadow_cross_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"shadow_cross_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"shinkiro_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"shinkiro_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"shiranui_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"shiranui_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"sky_emperor_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"sky_emperor_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"sky_emperor_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"sky_emperor_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"sky_emperor2_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"sky_emperor2_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"soul_ascetic_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"soul_ascetic_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"soul_ascetic_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"soul_ascetic_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"summer_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"summer_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"summer2_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"summer2_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"summoner_¿©","both","700","0","699","700","0","699","True","True","True","True"
"summoner_³²","both","700","0","699","700","0","699","True","True","True","True"
"troubadour_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"troubadour_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"trouvere_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"trouvere_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"windhawk_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"windhawk_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"windhawk_riding_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"windhawk_riding_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"wolf_windhawk_¿©","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
"wolf_windhawk_³²","missing_in_meurag","8","0","7","0",,,"False","False","False","False"
