Base,MutableIndices,Colors,Mode
¿¬±Ý¼ú»ç¸äµÅÁö_¿©,232,1..20,generated_high_contrast
¿ïÇÁ·¹ÀÎÀú_³²,207,1..20,generated_high_contrast
¿ïÇÁ·¹ÀÎÀú_¿©,208,1..20,generated_high_contrast
¿ö·Ï_³²,216,1..20,generated_high_contrast
¿ö·Ï_¿©,216,1..20,generated_high_contrast
¿ø´õ·¯_³²,169,1..20,generated_high_contrast
¿ø´õ·¯_¿©,216,1..20,generated_high_contrast
À§Àúµå_³²,231,1..20,generated_high_contrast
À§Àúµå_¿©,231,1..20,generated_high_contrast
Á¦³×¸¯_³²,208,1..20,generated_high_contrast
Á¦³×¸¯_¿©,202,1..20,generated_high_contrast
Á¦³×¸¯¸äµÅÁö_³²,208,1..20,generated_high_contrast
Á¦³×¸¯¸äµÅÁö_¿©,202,1..20,generated_high_contrast
Á¦Ã¶°ø_³²,224,1..20,generated_high_contrast
Á¦Ã¶°ø_¿©,232,1..20,generated_high_contrast
Á¦Ã¶°ø¸äµÅÁö_³²,224,1..20,generated_high_contrast
Á¦Ã¶°ø¸äµÅÁö_¿©,232,1..20,generated_high_contrast
Áý½Ã_¿©,232,1..20,generated_high_contrast
Ã¨ÇÇ¿Â_³²,214,1..20,generated_high_contrast
Ã¨ÇÇ¿Â_¿©,240,1..20,generated_high_contrast
Ã¨ÇÇ¿Â¾ËÆÄÄ«_³²,214,1..20,generated_high_contrast
Ã¨ÇÇ¿Â¾ËÆÄÄ«_¿©,240,1..20,generated_high_contrast
ÃÊº¸ÀÚ_³²,215,1..20,generated_high_contrast
ÃÊº¸ÀÚ_¿©,215,1..20,generated_high_contrast
ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_³²,185,1..20,generated_high_contrast
ÄÌº£·Î½º±æ·ÎÆ¾Å©·Î½º_¿©,185,1..20,generated_high_contrast
ÄÌº£·Î½ºµµµÏ_³²,208,1..20,generated_high_contrast
ÄÌº£·Î½ºµµµÏ_¿©,216,1..20,generated_high_contrast
ÄÌº£·Î½º·Î±×_³²,224,1..20,generated_high_contrast
ÄÌº£·Î½º·Î±×_¿©,224,1..20,generated_high_contrast
ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_³²,185,1..20,generated_high_contrast
ÄÌº£·Î½º½¦µµ¿ìÃ¼ÀÌ¼­_¿©,193,1..20,generated_high_contrast
ÄÌº£·Î½º½ºÅäÄ¿_³²,222,1..20,generated_high_contrast
ÄÌº£·Î½º½ºÅäÄ¿_¿©,224,1..20,generated_high_contrast
Å©¶ó¿î_³²,214,1..20,generated_high_contrast
Å©·ç_³²,222,1..20,generated_high_contrast
Å©·ç_¿©,224,1..20,generated_high_contrast
Å©¸®¿¡ÀÌÅÍ_³²,224,1..20,generated_high_contrast
Å©¸®¿¡ÀÌÅÍ_¿©,232,1..20,generated_high_contrast
Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_³²,224,1..20,generated_high_contrast
Å©¸®¿¡ÀÌÅÍ¸äµÅÁö_¿©,232,1..20,generated_high_contrast
Å¸Á¶±Ã¼ö_³²,224,1..20,generated_high_contrast
Å¸Á¶±Ã¼ö_¿©,224,1..20,generated_high_contrast
Å¸Á¶·¹ÀÎÁ®_³²,215,1..20,generated_high_contrast
Å¸Á¶·¹ÀÎÁ®_¿©,208,1..20,generated_high_contrast
Å¸Á¶¹«Èñ_³²,214,1..20,generated_high_contrast
Å¸Á¶¹«Èñ_¿©,162,1..20,generated_high_contrast
Å¸Á¶¹Î½ºÆ®·²_³²,216,1..20,generated_high_contrast
Å¸Á¶¹Ùµå_³²,214,1..20,generated_high_contrast
Å¸Á¶¹Ùµå_¿©,162,1..20,generated_high_contrast
Å¸Á¶½º³ªÀÌÆÛ_³²,214,1..20,generated_high_contrast
Å¸Á¶½º³ªÀÌÆÛ_¿©,232,1..20,generated_high_contrast
Å¸Á¶¿ø´õ·¯_¿©,216,1..20,generated_high_contrast
Å¸Á¶Å©¶ó¿î_³²,214,1..20,generated_high_contrast
Å¸Á¶ÇåÅÍ_³²,214,1..20,generated_high_contrast
Å¸Á¶ÇåÅÍ_¿©,232,1..20,generated_high_contrast
ÅÂ±Ç¼Ò³â_³²,214,1..20,generated_high_contrast
ÅÂ±Ç¼Ò³â_¿©,224,1..20,generated_high_contrast
ÅÂ±Ç¼Ò³âÆ÷¸µ_³²,214,1..20,generated_high_contrast
ÅÂ±Ç¼Ò³âÆ÷¸µ_¿©,224,1..20,generated_high_contrast
ÆÈ¶óµò_³²,222,1..20,generated_high_contrast
ÆÈ¶óµò_¿©,224,1..20,generated_high_contrast
ÆäÄÚ°Ç³Ê_³²,211,1..20,generated_high_contrast
ÆäÄÚ°Ç³Ê_¿©,211,1..20,generated_high_contrast
ÆäÄÚ°Ë»ç_³²,207,1..20,generated_high_contrast
ÆäÄÚ°Ë»ç_¿©,196,1..20,generated_high_contrast
ÆäÄÚ·Î³ª_³²,221,1..20,generated_high_contrast
ÆäÄÚ·Î³ª_¿©,221,1..20,generated_high_contrast
ÆäÄÚÆÈ¶ó_³²,221,1..20,generated_high_contrast
ÆäÄÚÆÈ¶ó_¿©,221,1..20,generated_high_contrast
ÆäÄÚÆÈ¶óµò_³²,221,1..20,generated_high_contrast
ÆäÄÚÆÈ¶óµò_¿©,221,1..20,generated_high_contrast
ÆäÄÚÆäÄÚ_±â»ç_³²,218,1..20,generated_high_contrast
ÆäÄÚÆäÄÚ_±â»ç_¿©,221,1..20,generated_high_contrast
ÆäÄÚÆäÄÚ_Å©·ç_³²,221,1..20,generated_high_contrast
ÆäÄÚÆäÄÚ_Å©·ç_¿©,221,1..20,generated_high_contrast
ÇÁ·ÎÆä¼­_³²,231,1..20,generated_high_contrast
ÇÁ·ÎÆä¼­_¿©,231,1..20,generated_high_contrast
ÇÁ¸®½ºÆ®_³²,214,1..20,generated_high_contrast
ÇÁ¸®½ºÆ®_¿©,240,1..20,generated_high_contrast
ÇÁ¸®½ºÆ®¾ËÆÄÄ«_³²,214,1..20,generated_high_contrast
ÇÁ¸®½ºÆ®¾ËÆÄÄ«_¿©,240,1..20,generated_high_contrast
ÇÏÀÌÀ§Àúµå_³²,231,1..20,generated_high_contrast
ÇÏÀÌÀ§Àúµå_¿©,231,1..20,generated_high_contrast
ÇÏÀÌÇÁ¸®½ºÆ®_³²,214,1..20,generated_high_contrast
ÇÏÀÌÇÁ¸®½ºÆ®_¿©,240,1..20,generated_high_contrast
ÇÏÀÌÇÁ¸®½ºÆ®¾ËÆÄÄ«_³²,214,1..20,generated_high_contrast
ÇÏÀÌÇÁ¸®½ºÆ®¾ËÆÄÄ«_¿©,240,1..20,generated_high_contrast
ÇØÅÂ¼ºÁ¦_³²,174,1..20,generated_high_contrast
ÇØÅÂ¼ºÁ¦_¿©,182,1..20,generated_high_contrast
ÇØÅÂ¼Ò¿ï¸®ÆÛ_²,197,1..20,generated_high_contrast
ÇØÅÂ¼Ò¿ï¸®ÆÛ_³²,197,1..20,generated_high_contrast
ÇØÅÂ¼Ò¿ï¸®ÆÛ_¿©,189,1..20,generated_high_contrast
ÇåÅÍ_³²,214,1..20,generated_high_contrast
ÇåÅÍ_¿©,232,1..20,generated_high_contrast
È­ÀÌÆ®½º¹Ì½º_³²,224,1..20,generated_high_contrast
È­ÀÌÆ®½º¹Ì½º_¿©,232,1..20,generated_high_contrast
È­ÀÌÆ®½º¹Ì½º¸äµÅÁö_³²,224,1..20,generated_high_contrast
È­ÀÌÆ®½º¹Ì½º¸äµÅÁö_¿©,232,1..20,generated_high_contrast
